stop_id,stop_name,stop_lat,stop_lon
212,Pole Rd at Everson Goshen Rd,48.891181,-122.374972
213,Mission Rd at Silves Ct,48.892445,-122.352970
214,Mission Rd at Silves Ct,48.892493,-122.353117
215,Mission Rd at Suchanon Dr,48.897453,-122.352940
216,Guide Meridian at Ten Mile Rd,48.868973,-122.486090
217,Guide Meridian at Laurel Rd,48.857140,-122.486140
218,Guide Meridian at Axton Rd,48.847378,-122.486180
219,Guide Meridian at Smith Rd,48.832916,-122.486180
220,Guide Meridian at Kline Rd,48.814651,-122.486177
221,Guide Meridian at Horton Rd,48.807461,-122.486220
223,Champion St at Grand Ave,48.751943,-122.479077
225,Cordata Pkwy at Whatcom Community College,48.794529,-122.491839
226,Nooksack Rd at Columbia St,48.921818,-122.321770
227,Nooksack Rd at Madison St,48.928192,-122.321730
228,Nooksack Valley Middle School,48.920269,-122.328790
229,Nooksack Valley Middle School,48.920143,-122.328450
230,Meridian St at Baker St,48.780964,-122.486012
232,Kellogg Rd at Whatcom Community College,48.795051,-122.494069
234,Peace Portal Dr at 4th St,48.986248,-122.747920
235,Peace Portal Dr at 4th St,48.986500,-122.748028
236,Grandview Rd at Enterprise Rd,48.891770,-122.584480
237,Portal Way at 6300 Block,48.872209,-122.584267
238,Portal Way at 6000 Block,48.861218,-122.584588
239,Grandview Rd at Enterprise Rd,48.891644,-122.584370
240,Enterprise Rd at Matz Rd,48.886948,-122.583930
241,Portal Way at 6300 Block,48.873727,-122.584401
242,Portal Way at 6200 Block,48.868206,-122.584590
243,Axton Rd at Barrett Rd,48.848221,-122.572820
244,Birch Bay Lynden Rd at Anchor Pkwy,48.935860,-122.722931
245,Harborview Rd at Drayton Harbor Rd,48.956630,-122.748017
246,Drayton Harbor Rd at Blaine Rd,48.962160,-122.730658
247,Peace Portal Dr at Bell Rd,48.976475,-122.729320
248,Peace Portal Dr at Mitchell Ave,48.984184,-122.740940
249,Peace Portal Dr at Clark St,48.991999,-122.751453
250,Peace Portal Dr at Clark St,48.992111,-122.751640
251,Peace Portal Dr at Garfield Ave,48.984926,-122.743490
252,Peace Portal Dr at Bell Rd,48.975993,-122.728929
253,Drayton Harbor Rd at Blaine Rd,48.962297,-122.732069
254,Drayton Harbor Rd at Harborview Rd,48.957390,-122.747890
255,Birch Bay Lynden Rd at Anchor Pkwy,48.935673,-122.722460
256,Cable St at Lake Whatcom Blvd,48.746256,-122.395735
257,Lakeway Dr at Oriental Ave,48.746212,-122.414577
258,Lakeway Dr at Lowell Ave,48.747338,-122.418072
259,Lakeway Dr at Euclid Ave,48.744916,-122.410659
260,Lake Louise Rd at Gate 5,48.709858,-122.340888
261,Lake Whatcom Blvd at Gate 2,48.710194,-122.330240
262,Lake Whatcom Blvd at S Lakewood,48.727239,-122.340138
263,Lake Whatcom Blvd at N Lakewood,48.728955,-122.342636
264,Lake Whatcom Blvd at Woodcliff Ln,48.732922,-122.349413
265,Lake Whatcom Blvd at 2600 Block,48.736085,-122.357603
266,Lake Whatcom Blvd at E Strawberry Pt,48.739058,-122.366900
267,Lake Whatcom Blvd at W Strawberry Pt,48.738444,-122.370750
268,Lake Whatcom Blvd at Eagle Point,48.738273,-122.376086
269,Lake Whatcom Blvd at Cherry Ln,48.739477,-122.379879
270,Lake Whatcom Blvd at Grand Blvd,48.740536,-122.383568
271,Lake Whatcom Blvd at 2800 Block,48.742710,-122.390971
272,Lake Whatcom Blvd at Coronado Ave,48.744945,-122.393319
273,Cable St at Lakeview St,48.746202,-122.406932
274,Eliza Ave at Darby Dr,48.792380,-122.496922
275,Bakerview Rd at Spring Creek,48.789805,-122.481677
276,Bakerview Rd at Spring Creek,48.789608,-122.481280
277,Midway Ln at Bakerview Spur,48.785885,-122.449170
278,Midway Ln at Irongate Rd,48.785802,-122.449466
279,Irongate Rd at Alpine Way,48.783683,-122.453512
280,Irongate Rd at Alpine Way,48.783673,-122.453269
281,Division St at Bakerview Spur,48.782272,-122.449381
282,Division St at Bakerview Spur,48.782175,-122.450273
283,Bennett Dr at Cherrywood Ave,48.780758,-122.519950
284,Bennett Dr at McLeod Rd,48.783342,-122.518567
285,Bennett Dr at McLeod Rd,48.783337,-122.518750
286,Bennett Dr at Cherrywood Ave,48.780743,-122.520130
288,Lakeway Dr at Humboldt St,48.745094,-122.467954
289,Lakeway Dr at Franklin St,48.745089,-122.469953
290,Lakeway Dr at Fred Meyer,48.744878,-122.465120
292,Ellis St at Holly St,48.744106,-122.471932
293,Elm St at Jefferson St,48.762779,-122.488480
294,Northwest Ave at Connecticut St,48.766134,-122.489628
295,Northwest Ave at Lynn St,48.772098,-122.494463
